 "y","U","k","epsilon","nut","tau_mu","tau_R","Pk","Tk","Dk","Peps","Teps","Deps","epsEps"
  0.1580000000E+02,  0.1120327311E+02,  0.3097134220E+01,  0.1293344245E+00,  0.1608846030E+01,  0.3303758666E+00,  0.5315239012E+00,  0.1756026694E+00, -0.2335233536E-01, -0.2289956244E-01,  0.1063293659E-01, -0.1470295586E-02, -0.3213678280E-03, -0.8840337589E-02
  0.1590000000E+02,  0.1123613836E+02,  0.3102265089E+01,  0.1287906276E+00,  0.1634629170E+01,  0.3269545649E+00,  0.5344494690E+00,  0.1747406936E+00, -0.2357480762E-01, -0.2235873960E-01,  0.1051882940E-01, -0.1451601289E-02, -0.2922277054E-03, -0.8774061763E-02
  0.1600000000E+02,  0.1126866403E+02,  0.3107172370E+01,  0.1282439084E+00,  0.1660542569E+01,  0.3235837530E+00,  0.5373245966E+00,  0.1738695096E+00, -0.2378128632E-01, -0.2182762449E-01,  0.1040549704E-01, -0.1432561654E-02, -0.2641636387E-03, -0.8707830113E-02
  0.1610000000E+02,  0.1130085511E+02,  0.3111861375E+01,  0.1276945476E+00,  0.1686584324E+01,  0.3202626873E+00,  0.5401500280E+00,  0.1729898995E+00, -0.2397224165E-01, -0.2130624851E-01,  0.1029297363E-01, -0.1413210523E-02, -0.2371493566E-03, -0.8641669166E-02
  0.1620000000E+02,  0.1133271656E+02,  0.3116337317E+01,  0.1271428152E+00,  0.1712752549E+01,  0.3169906269E+00,  0.5429265043E+00,  0.1721026130E+00, -0.2414814030E-01, -0.2079462443E-01,  0.1018129051E-01, -0.1393580371E-02, -0.2111584425E-03, -0.8575604217E-02
  0.1630000000E+02,  0.1136425324E+02,  0.3120605314E+01,  0.1265889713E+00,  0.1739045376E+01,  0.3137668348E+00,  0.5456547633E+00,  0.1712083680E+00, -0.2430944465E-01, -0.2029274791E-01,  0.1007047642E-01, -0.1373702319E-02, -0.1861644157E-03, -0.8509659362E-02
  0.1640000000E+02,  0.1139546993E+02,  0.3124670382E+01,  0.1260332658E+00,  0.1765460957E+01,  0.3105905778E+00,  0.5483355386E+00,  0.1703078518E+00, -0.2445661209E-01, -0.1980059886E-01,  0.9960557616E-02, -0.1353606158E-02, -0.1621408051E-03, -0.8443857540E-02
  0.1650000000E+02,  0.1142637135E+02,  0.3128537445E+01,  0.1254759388E+00,  0.1791997459E+01,  0.3074611274E+00,  0.5509695590E+00,  0.1694017218E+00, -0.2459009436E-01, -0.1931814284E-01,  0.9851558004E-02, -0.1333320369E-02, -0.1390612164E-03, -0.8378220561E-02
  0.1660000000E+02,  0.1145696216E+02,  0.3132211327E+01,  0.1249172212E+00,  0.1818653068E+01,  0.3043777606E+00,  0.5535575481E+00,  0.1684906069E+00, -0.2471033702E-01, -0.1884533225E-01,  0.9743499244E-02, -0.1312872151E-02, -0.1168993924E-03, -0.8312769148E-02
  0.1670000000E+02,  0.1148724691E+02,  0.3135696755E+01,  0.1243573347E+00,  0.1845425988E+01,  0.3013397598E+00,  0.5561002239E+00,  0.1675751079E+00, -0.2481777892E-01, -0.1838210756E-01,  0.9636400879E-02, -0.1292287447E-02, -0.9562926701E-04, -0.8247522965E-02
  0.1680000000E+02,  0.1151723011E+02,  0.3138998362E+01,  0.1237964918E+00,  0.1872314439E+01,  0.2983464136E+00,  0.5585982981E+00,  0.1666557989E+00, -0.2491285179E-01, -0.1792839836E-01,  0.9530280442E-02, -0.1271590971E-02, -0.7522501391E-04, -0.8182500655E-02
