 "y","U","k","epsilon","nut","tau_mu","tau_R","Pk","Tk","Dk","Peps","Teps","Deps","epsEps"
  0.4110000000E+02,  0.1492475751E+02,  0.2597096742E+01,  0.4557379838E-01,  0.9213041654E+01,  0.7231110118E-01,  0.6662051872E+00,  0.4817403070E-01, -0.3028523520E-02,  0.4748953013E-03,  0.1225767456E-02,  0.2181883349E-03,  0.7327723822E-04, -0.1516265340E-02
  0.4120000000E+02,  0.1493197656E+02,  0.2594399620E+01,  0.4543143329E-01,  0.9240444122E+01,  0.7207080025E-01,  0.6659662025E+00,  0.4799671716E-01, -0.2993129591E-02,  0.4745094963E-03,  0.1218706430E-02,  0.2179503818E-03,  0.7273605388E-04, -0.1508426357E-02
  0.4130000000E+02,  0.1493917167E+02,  0.2591707243E+01,  0.4528979556E-01,  0.9267798567E+01,  0.7183212391E-01,  0.6657256550E+00,  0.4782048774E-01, -0.2958064972E-02,  0.4740958221E-03,  0.1211703665E-02,  0.2177065029E-03,  0.7219979077E-04, -0.1500644635E-02
  0.4140000000E+02,  0.1494634299E+02,  0.2589019607E+01,  0.4514887982E-01,  0.9295104880E+01,  0.7159505660E-01,  0.6654835600E+00,  0.4764533314E-01, -0.2923326463E-02,  0.4736550167E-03,  0.1204758531E-02,  0.2174568321E-03,  0.7166839950E-04, -0.1492919629E-02
  0.4150000000E+02,  0.1495349068E+02,  0.2586336707E+01,  0.4500868078E-01,  0.9322362956E+01,  0.7135958296E-01,  0.6652399327E+00,  0.4747124417E-01, -0.2888910905E-02,  0.4731878003E-03,  0.1197870409E-02,  0.2172015007E-03,  0.7114183116E-04, -0.1485250800E-02
  0.4160000000E+02,  0.1496061490E+02,  0.2583658540E+01,  0.4486919315E-01,  0.9349572690E+01,  0.7112568782E-01,  0.6649947884E+00,  0.4729821172E-01, -0.2854815161E-02,  0.4726948780E-03,  0.1191038684E-02,  0.2169406375E-03,  0.7062003727E-04, -0.1477637615E-02
  0.4170000000E+02,  0.1496771582E+02,  0.2580985099E+01,  0.4473041172E-01,  0.9376733980E+01,  0.7089335618E-01,  0.6647481419E+00,  0.4712622679E-01, -0.2821036127E-02,  0.4721769389E-03,  0.1184262751E-02,  0.2166743693E-03,  0.7010296985E-04, -0.1470079548E-02
  0.4180000000E+02,  0.1497479357E+02,  0.2578316380E+01,  0.4459233132E-01,  0.9403846725E+01,  0.7066257322E-01,  0.6645000078E+00,  0.4695528046E-01, -0.2787570733E-02,  0.4716346560E-03,  0.1177542014E-02,  0.2164028200E-03,  0.6959058134E-04, -0.1462576079E-02
  0.4190000000E+02,  0.1498184833E+02,  0.2575652378E+01,  0.4445494682E-01,  0.9430910828E+01,  0.7043332430E-01,  0.6642504008E+00,  0.4678536390E-01, -0.2754415931E-02,  0.4710686883E-03,  0.1170875883E-02,  0.2161261116E-03,  0.6908282467E-04, -0.1455126692E-02
  0.4200000000E+02,  0.1498888024E+02,  0.2572993086E+01,  0.4431825316E-01,  0.9457926191E+01,  0.7020559495E-01,  0.6639993352E+00,  0.4661646837E-01, -0.2721568706E-02,  0.4704796793E-03,  0.1164263777E-02,  0.2158443637E-03,  0.6857965322E-04, -0.1447730879E-02
  0.4210000000E+02,  0.1499588945E+02,  0.2570338499E+01,  0.4418224529E-01,  0.9484892721E+01,  0.6997937086E-01,  0.6637468252E+00,  0.4644858524E-01, -0.2689026074E-02,  0.4698682581E-03,  0.1157705120E-02,  0.2155576938E-03,  0.6808102080E-04, -0.1440388137E-02
  0.4220000000E+02,  0.1500287611E+02,  0.2567688611E+01,  0.4404691823E-01,  0.9511810323E+01,  0.6975463791E-01,  0.6634928849E+00,  0.4628170594E-01, -0.2656785076E-02,  0.4692350405E-03,  0.1151199346E-02,  0.2152662171E-03,  0.6758688171E-04, -0.1433097968E-02
  0.4230000000E+02,  0.1500984038E+02,  0.2565043415E+01,  0.4391226704E-01,  0.9538678908E+01,  0.6953138213E-01,  0.6632375281E+00,  0.4611582201E-01, -0.2624842786E-02,  0.4685806274E-03,  0.1144745896E-02,  0.2149700466E-03,  0.6709719065E-04, -0.1425859881E-02
  0.4240000000E+02,  0.1501678239E+02,  0.2562402905E+01,  0.4377828682E-01,  0.9565498386E+01,  0.6930958971E-01,  0.6629807685E+00,  0.4595092505E-01, -0.2593196303E-02,  0.4679056072E-03,  0.1138344216E-02,  0.2146692935E-03,  0.6661190281E-04, -0.1418673389E-02
  0.4250000000E+02,  0.1502370229E+02,  0.2559767074E+01,  0.4364497272E-01,  0.9592268669E+01,  0.6908924703E-01,  0.6627226197E+00,  0.4578700678E-01, -0.2561842755E-02,  0.4672105547E-03,  0.1131993762E-02,  0.2143640667E-03,  0.6613097381E-04, -0.1411538011E-02
  0.4260000000E+02,  0.1503060024E+02,  0.2557135915E+01,  0.4351231993E-01,  0.9618989673E+01,  0.6887034060E-01,  0.6624630950E+00,  0.4562405898E-01, -0.2530779300E-02,  0.4664960319E-03,  0.1125693995E-02,  0.2140544731E-03,  0.6565435969E-04, -0.1404453272E-02
  0.4270000000E+02,  0.1503747636E+02,  0.2554509421E+01,  0.4338032368E-01,  0.9645661313E+01,  0.6865285709E-01,  0.6622022076E+00,  0.4546207352E-01, -0.2500003118E-02,  0.4657625885E-03,  0.1119444383E-02,  0.2137406178E-03,  0.6518201696E-04, -0.1397418702E-02
  0.4280000000E+02,  0.1504433081E+02,  0.2551887584E+01,  0.4324897926E-01,  0.9672283507E+01,  0.6843678333E-01,  0.6619399707E+00,  0.4530104235E-01, -0.2469511426E-02,  0.4650107613E-03,  0.1113244402E-02,  0.2134226038E-03,  0.6471390253E-04, -0.1390433835E-02
  0.4290000000E+02,  0.1505116372E+02,  0.2549270398E+01,  0.4311828197E-01,  0.9698856176E+01,  0.6822210630E-01,  0.6616763971E+00,  0.4514095750E-01, -0.2439301458E-02,  0.4642410758E-03,  0.1107093534E-02,  0.2131005321E-03,  0.6424997378E-04, -0.1383498213E-02
  0.4300000000E+02,  0.1505797523E+02,  0.2546657854E+01,  0.4298822718E-01,  0.9725379240E+01,  0.6800881315E-01,  0.6614114996E+00,  0.4498181109E-01, -0.2409370482E-02,  0.4634540454E-03,  0.1100991266E-02,  0.2127745022E-03,  0.6379018850E-04, -0.1376611380E-02
  0.4310000000E+02,  0.1506476548E+02,  0.2544049945E+01,  0.4285881030E-01,  0.9751852623E+01,  0.6779689115E-01,  0.6611452908E+00,  0.4482359531E-01, -0.2379715789E-02,  0.4626501720E-03,  0.1094937094E-02,  0.2124446113E-03,  0.6333450489E-04, -0.1369772887E-02
  0.4320000000E+02,  0.1507153461E+02,  0.2541446662E+01,  0.4273002675E-01,  0.9778276250E+01,  0.6758632772E-01,  0.6608777832E+00,  0.4466630244E-01, -0.2350334698E-02,  0.4618299464E-03,  0.1088930519E-02,  0.2121109553E-03,  0.6288288161E-04, -0.1362982289E-02
  0.4330000000E+02,  0.1507828275E+02,  0.2538847998E+01,  0.4260187204E-01,  0.9804650047E+01,  0.6737711044E-01,  0.6606089891E+00,  0.4450992482E-01, -0.2321224555E-02,  0.4609938482E-03,  0.1082971048E-02,  0.2117736277E-03,  0.6243527771E-04, -0.1356239147E-02
  0.4340000000E+02,  0.1508501003E+02,  0.2536253943E+01,  0.4247434168E-01,  0.9830973943E+01,  0.6716922703E-01,  0.6603389207E+00,  0.4435445488E-01, -0.2292382730E-02,  0.4601423467E-03,  0.1077058195E-02,  0.2114327210E-03,  0.6199165267E-04, -0.1349543026E-02
  0.4350000000E+02,  0.1509171659E+02,  0.2533664490E+01,  0.4234743124E-01,  0.9857247867E+01,  0.6696266533E-01,  0.6600675901E+00,  0.4419988513E-01, -0.2263806622E-02,  0.4592759002E-03,  0.1071191480E-02,  0.2110883253E-03,  0.6155196637E-04, -0.1342893496E-02
  0.4360000000E+02,  0.1509840256E+02,  0.2531079629E+01,  0.4222113632E-01,  0.9883471751E+01,  0.6675741335E-01,  0.6597950090E+00,  0.4404620814E-01, -0.2235493651E-02,  0.4583949573E-03,  0.1065370429E-02,  0.2107405297E-03,  0.6111617914E-04, -0.1336290132E-02
  0.4370000000E+02,  0.1510506808E+02,  0.2528499353E+01,  0.4209545256E-01,  0.9909645528E+01,  0.6655345921E-01,  0.6595211894E+00,  0.4389341657E-01, -0.2207441265E-02,  0.4574999560E-03,  0.1059594572E-02,  0.2103894209E-03,  0.6068425167E-04, -0.1329732514E-02
  0.4380000000E+02,  0.1511171326E+02,  0.2525923652E+01,  0.4197037564E-01,  0.9935769133E+01,  0.6635079116E-01,  0.6592461428E+00,  0.4374150315E-01, -0.2179646939E-02,  0.4565913249E-03,  0.1053863449E-02,  0.2100350847E-03,  0.6025614508E-04, -0.1323220224E-02
  0.4390000000E+02,  0.1511833823E+02,  0.2523352516E+01,  0.4184590128E-01,  0.9961842502E+01,  0.6614939762E-01,  0.6589698808E+00,  0.4359046066E-01, -0.2152108169E-02,  0.4556694828E-03,  0.1048176602E-02,  0.2096776049E-03,  0.5983182089E-04, -0.1316752853E-02
  0.4400000000E+02,  0.1512494314E+02,  0.2520785937E+01,  0.4172202524E-01,  0.9987865574E+01,  0.6594926711E-01,  0.6586924146E+00,  0.4344028199E-01, -0.2124822478E-02,  0.4547348392E-03,  0.1042533579E-02,  0.2093170639E-03,  0.5941124101E-04, -0.1310329993E-02
  0.4410000000E+02,  0.1513152809E+02,  0.2518223906E+01,  0.4159874332E-01,  0.1001383829E+02,  0.6575038828E-01,  0.6584137556E+00,  0.4329096008E-01, -0.2097787413E-02,  0.4537877944E-03,  0.1036933937E-02,  0.2089535425E-03,  0.5899436774E-04, -0.1303951242E-02
  0.4420000000E+02,  0.1513809321E+02,  0.2515666412E+01,  0.4147605134E-01,  0.1003976058E+02,  0.6555274993E-01,  0.6581339148E+00,  0.4314248793E-01, -0.2071000545E-02,  0.4528287397E-03,  0.1031377233E-02,  0.2085871201E-03,  0.5858116380E-04, -0.1297616202E-02
  0.4430000000E+02,  0.1514463864E+02,  0.2513113447E+01,  0.4135394516E-01,  0.1006563240E+02,  0.6535634095E-01,  0.6578529032E+00,  0.4299485864E-01, -0.2044459468E-02,  0.4518580579E-03,  0.1025863035E-02,  0.2082178745E-03,  0.5817159227E-04, -0.1291324479E-02
  0.4440000000E+02,  0.1515116448E+02,  0.2510565000E+01,  0.4123242071E-01,  0.1009145369E+02,  0.6516115038E-01,  0.6575707317E+00,  0.4284806534E-01, -0.2018161802E-02,  0.4508761229E-03,  0.1020390913E-02,  0.2078458821E-03,  0.5776561662E-04, -0.1285075685E-02
  0.4450000000E+02,  0.1515767087E+02,  0.2508021062E+01,  0.4111147391E-01,  0.1011722440E+02,  0.6496716739E-01,  0.6572874111E+00,  0.4270210126E-01, -0.1992105190E-02,  0.4498833001E-03,  0.1014960442E-02,  0.2074712180E-03,  0.5736320072E-04, -0.1278869433E-02
  0.4460000000E+02,  0.1516415792E+02,  0.2505481623E+01,  0.4099110074E-01,  0.1014294447E+02,  0.6477438125E-01,  0.6570029519E+00,  0.4255695968E-01, -0.1966287294E-02,  0.4488799472E-03,  0.1009571205E-02,  0.2070939558E-03,  0.5696430878E-04, -0.1272705343E-02
  0.4470000000E+02,  0.1517062574E+02,  0.2502946672E+01,  0.4087129722E-01,  0.1016861385E+02,  0.6458278135E-01,  0.6567173646E+00,  0.4241263396E-01, -0.1940705807E-02,  0.4478664133E-03,  0.1004222788E-02,  0.2067141678E-03,  0.5656890542E-04, -0.1266583038E-02
  0.4480000000E+02,  0.1517707447E+02,  0.2500416201E+01,  0.4075205938E-01,  0.1019423248E+02,  0.6439235721E-01,  0.6564306596E+00,  0.4226911752E-01, -0.1915358438E-02,  0.4468430403E-03,  0.9989147809E-03,  0.2063319248E-03,  0.5617695562E-04, -0.1260502146E-02
  0.4490000000E+02,  0.1518350422E+02,  0.2497890198E+01,  0.4063338332E-01,  0.1021980034E+02,  0.6420309846E-01,  0.6561428472E+00,  0.4212640382E-01, -0.1890242920E-02,  0.4458101617E-03,  0.9936467817E-03,  0.2059472965E-03,  0.5578842474E-04, -0.1254462298E-02
  0.4500000000E+02,  0.1518991509E+02,  0.2495368652E+01,  0.4051526514E-01,  0.1024531735E+02,  0.6401499484E-01,  0.6558539375E+00,  0.4198448643E-01, -0.1865357011E-02,  0.4447681041E-03,  0.9884183912E-03,  0.2055603511E-03,  0.5540327847E-04, -0.1248463129E-02
  0.4510000000E+02,  0.1519630721E+02,  0.2492851555E+01,  0.4039770099E-01,  0.1027078349E+02,  0.6382803621E-01,  0.6555639406E+00,  0.4184335894E-01, -0.1840698492E-02,  0.4437171863E-03,  0.9832292157E-03,  0.2051711557E-03,  0.5502148290E-04, -0.1242504278E-02
  0.4520000000E+02,  0.1520268070E+02,  0.2490338895E+01,  0.4028068706E-01,  0.1029619870E+02,  0.6364221255E-01,  0.6552728663E+00,  0.4170301504E-01, -0.1816265159E-02,  0.4426577203E-03,  0.9780788661E-03,  0.2047797762E-03,  0.5464300446E-04, -0.1236585389E-02
  0.4530000000E+02,  0.1520903566E+02,  0.2487830661E+01,  0.4016421955E-01,  0.1032156295E+02,  0.6345751392E-01,  0.6549807246E+00,  0.4156344845E-01, -0.1792054837E-02,  0.4415900109E-03,  0.9729669580E-03,  0.2043862771E-03,  0.5426780994E-04, -0.1230706109E-02
  0.4540000000E+02,  0.1521537220E+02,  0.2485326843E+01,  0.4004829473E-01,  0.1034687619E+02,  0.6327393053E-01,  0.6546875250E+00,  0.4142465297E-01, -0.1768065371E-02,  0.4405143557E-03,  0.9678931116E-03,  0.2039907217E-03,  0.5389586647E-04, -0.1224866087E-02
  0.4550000000E+02,  0.1522169044E+02,  0.2482827430E+01,  0.3993290886E-01,  0.1037213838E+02,  0.6309145265E-01,  0.6543932772E+00,  0.4128662247E-01, -0.1744294622E-02,  0.4394310465E-03,  0.9628569519E-03,  0.2035931724E-03,  0.5352714155E-04, -0.1219064980E-02
  0.4560000000E+02,  0.1522799049E+02,  0.2480332412E+01,  0.3981805827E-01,  0.1039734948E+02,  0.6291007070E-01,  0.6540979907E+00,  0.4114935084E-01, -0.1720740482E-02,  0.4383403674E-03,  0.9578581081E-03,  0.2031936900E-03,  0.5316160300E-04, -0.1213302445E-02
  0.4570000000E+02,  0.1523427246E+02,  0.2477841777E+01,  0.3970373929E-01,  0.1042250945E+02,  0.6272977518E-01,  0.6538016748E+00,  0.4101283207E-01, -0.1697400856E-02,  0.4372425968E-03,  0.9528962142E-03,  0.2027923345E-03,  0.5279921900E-04, -0.1207578143E-02
  0.4580000000E+02,  0.1524053645E+02,  0.2475355514E+01,  0.3958994830E-01,  0.1044761827E+02,  0.6255055669E-01,  0.6535043389E+00,  0.4087706020E-01, -0.1674273671E-02,  0.4361380066E-03,  0.9479709081E-03,  0.2023891647E-03,  0.5243995806E-04, -0.1201891741E-02
  0.4590000000E+02,  0.1524678257E+02,  0.2472873613E+01,  0.3947668171E-01,  0.1047267589E+02,  0.6237240594E-01,  0.6532059922E+00,  0.4074202931E-01, -0.1651356878E-02,  0.4350268626E-03,  0.9430818326E-03,  0.2019842383E-03,  0.5208378904E-04, -0.1196242907E-02
  0.4600000000E+02,  0.1525301093E+02,  0.2470396062E+01,  0.3936393596E-01,  0.1049768229E+02,  0.6219531376E-01,  0.6529066436E+00,  0.4060773355E-01, -0.1628648443E-02,  0.4339094245E-03,  0.9382286342E-03,  0.2015776119E-03,  0.5173068110E-04, -0.1190631313E-02
  0.4610000000E+02,  0.1525922163E+02,  0.2467922851E+01,  0.3925170752E-01,  0.1052263742E+02,  0.6201927103E-01,  0.6526063022E+00,  0.4047416713E-01, -0.1606146358E-02,  0.4327859460E-03,  0.9334109640E-03,  0.2011693411E-03,  0.5138060376E-04, -0.1185056637E-02
  0.4620000000E+02,  0.1526541478E+02,  0.2465453967E+01,  0.3913999289E-01,  0.1054754126E+02,  0.6184426877E-01,  0.6523049769E+00,  0.4034132431E-01, -0.1583848632E-02,  0.4316566753E-03,  0.9286284771E-03,  0.2007594804E-03,  0.5103352685E-04, -0.1179518557E-02
  0.4630000000E+02,  0.1527159048E+02,  0.2462989399E+01,  0.3902878858E-01,  0.1057239379E+02,  0.6167029809E-01,  0.6520026764E+00,  0.4020919941E-01, -0.1561753292E-02,  0.4305218549E-03,  0.9238808327E-03,  0.2003480833E-03,  0.5068942053E-04, -0.1174016756E-02
  0.4640000000E+02,  0.1527774884E+02,  0.2460529137E+01,  0.3891809118E-01,  0.1059719496E+02,  0.6149735018E-01,  0.6516994095E+00,  0.4007778679E-01, -0.1539858387E-02,  0.4293817216E-03,  0.9191676940E-03,  0.1999352023E-03,  0.5034825526E-04, -0.1168550920E-02
  0.4650000000E+02,  0.1528388996E+02,  0.2458073169E+01,  0.3880789725E-01,  0.1062194476E+02,  0.6132541633E-01,  0.6513951847E+00,  0.3994708089E-01, -0.1518161986E-02,  0.4282365070E-03,  0.9144887281E-03,  0.1995208890E-03,  0.5001000183E-04, -0.1163120739E-02
  0.4660000000E+02,  0.1529001393E+02,  0.2455621483E+01,  0.3869820343E-01,  0.1064664316E+02,  0.6115448792E-01,  0.6510900105E+00,  0.3981707619E-01, -0.1496662174E-02,  0.4270864373E-03,  0.9098436063E-03,  0.1991051939E-03,  0.4967463137E-04, -0.1157725905E-02
  0.4670000000E+02,  0.1529612085E+02,  0.2453174068E+01,  0.3858900635E-01,  0.1067129013E+02,  0.6098455645E-01,  0.6507838954E+00,  0.3968776721E-01, -0.1475357058E-02,  0.4259317336E-03,  0.9052320035E-03,  0.1986881665E-03,  0.4934211525E-04, -0.1152366115E-02
  0.4680000000E+02,  0.1530221084E+02,  0.2450730912E+01,  0.3848030269E-01,  0.1069588566E+02,  0.6081561346E-01,  0.6504768477E+00,  0.3955914854E-01, -0.1454244762E-02,  0.4247726118E-03,  0.9006535984E-03,  0.1982698557E-03,  0.4901242522E-04, -0.1147041068E-02
  0.4690000000E+02,  0.1530828398E+02,  0.2448292004E+01,  0.3837208916E-01,  0.1072042971E+02,  0.6064765062E-01,  0.6501688756E+00,  0.3943121481E-01, -0.1433323431E-02,  0.4236092832E-03,  0.8961080737E-03,  0.1978503092E-03,  0.4868553329E-04, -0.1141750465E-02
  0.4700000000E+02,  0.1531434037E+02,  0.2445857332E+01,  0.3826436248E-01,  0.1074492227E+02,  0.6048065967E-01,  0.6498599873E+00,  0.3930396073E-01, -0.1412591223E-02,  0.4224419540E-03,  0.8915951155E-03,  0.1974295738E-03,  0.4836141177E-04, -0.1136494013E-02
  0.4710000000E+02,  0.1532038011E+02,  0.2443426884E+01,  0.3815711942E-01,  0.1076936333E+02,  0.6031463245E-01,  0.6495501907E+00,  0.3917738101E-01, -0.1392046320E-02,  0.4212708256E-03,  0.8871144139E-03,  0.1970076956E-03,  0.4804003329E-04, -0.1131271419E-02
  0.4720000000E+02,  0.1532640329E+02,  0.2441000649E+01,  0.3805035676E-01,  0.1079375285E+02,  0.6014956086E-01,  0.6492394940E+00,  0.3905147046E-01, -0.1371686920E-02,  0.4200960949E-03,  0.8826656624E-03,  0.1965847197E-03,  0.4772137075E-04, -0.1126082397E-02
  0.4730000000E+02,  0.1533241002E+02,  0.2438578615E+01,  0.3794407131E-01,  0.1081809083E+02,  0.5998543692E-01,  0.6489279049E+00,  0.3892622391E-01, -0.1351511239E-02,  0.4189179542E-03,  0.8782485580E-03,  0.1961606904E-03,  0.4740539737E-04, -0.1120926659E-02
  0.4740000000E+02,  0.1533840038E+02,  0.2436160771E+01,  0.3783825991E-01,  0.1084237724E+02,  0.5982225271E-01,  0.6486154312E+00,  0.3880163624E-01, -0.1331517510E-02,  0.4177365916E-03,  0.8738628013E-03,  0.1957356510E-03,  0.4709208661E-04, -0.1115803923E-02
  0.4750000000E+02,  0.1534437447E+02,  0.2433747103E+01,  0.3773291944E-01,  0.1086661208E+02,  0.5966000039E-01,  0.6483020808E+00,  0.3867770240E-01, -0.1311703981E-02,  0.4165521907E-03,  0.8695080965E-03,  0.1953096443E-03,  0.4678141227E-04, -0.1110713911E-02
  0.4760000000E+02,  0.1535033238E+02,  0.2431337602E+01,  0.3762804678E-01,  0.1089079532E+02,  0.5949867222E-01,  0.6479878612E+00,  0.3855441736E-01, -0.1292068926E-02,  0.4153649305E-03,  0.8651841510E-03,  0.1948827121E-03,  0.4647334839E-04, -0.1105656345E-02
  0.4770000000E+02,  0.1535627420E+02,  0.2428932253E+01,  0.3752363885E-01,  0.1091492696E+02,  0.5933826053E-01,  0.6476727799E+00,  0.3843177615E-01, -0.1272610623E-02,  0.4141749865E-03,  0.8608906756E-03,  0.1944548955E-03,  0.4616786931E-04, -0.1100630951E-02
  0.4780000000E+02,  0.1536220003E+02,  0.2426531047E+01,  0.3741969260E-01,  0.1093900699E+02,  0.5917875773E-01,  0.6473568445E+00,  0.3830977387E-01, -0.1253327381E-02,  0.4129825296E-03,  0.8566273846E-03,  0.1940262345E-03,  0.4586494964E-04, -0.1095637459E-02
  0.4790000000E+02,  0.1536810996E+02,  0.2424133970E+01,  0.3731620500E-01,  0.1096303539E+02,  0.5902015631E-01,  0.6470400624E+00,  0.3818840562E-01, -0.1234217515E-02,  0.4117877272E-03,  0.8523939954E-03,  0.1935967689E-03,  0.4556456426E-04, -0.1090675600E-02
  0.4800000000E+02,  0.1537400406E+02,  0.2421741012E+01,  0.3721317305E-01,  0.1098701216E+02,  0.5886244882E-01,  0.6467224408E+00,  0.3806766657E-01, -0.1215279362E-02,  0.4105907423E-03,  0.8481902287E-03,  0.1931665373E-03,  0.4526668832E-04, -0.1085745108E-02
  0.4810000000E+02,  0.1537988245E+02,  0.2419352159E+01,  0.3711059376E-01,  0.1101093728E+02,  0.5870562793E-01,  0.6464039870E+00,  0.3794755195E-01, -0.1196511275E-02,  0.4093917342E-03,  0.8440158084E-03,  0.1927355777E-03,  0.4497129724E-04, -0.1080845723E-02
  0.4820000000E+02,  0.1538574519E+02,  0.2416967400E+01,  0.3700846419E-01,  0.1103481075E+02,  0.5854968635E-01,  0.6460847082E+00,  0.3782805702E-01, -0.1177911620E-02,  0.4081908592E-03,  0.8398704615E-03,  0.1923039275E-03,  0.4467836672E-04, -0.1075977182E-02
  0.4830000000E+02,  0.1539159238E+02,  0.2414586723E+01,  0.3690678140E-01,  0.1105863256E+02,  0.5839461686E-01,  0.6457646115E+00,  0.3770917707E-01, -0.1159478783E-02,  0.4069882688E-03,  0.8357539182E-03,  0.1918716233E-03,  0.4438787268E-04, -0.1071139229E-02
  0.4840000000E+02,  0.1539742411E+02,  0.2412210116E+01,  0.3680554249E-01,  0.1108240271E+02,  0.5824041235E-01,  0.6454437038E+00,  0.3759090746E-01, -0.1141211164E-02,  0.4057841117E-03,  0.8316659118E-03,  0.1914387008E-03,  0.4409979133E-04, -0.1066331609E-02
  0.4850000000E+02,  0.1540324047E+02,  0.2409837567E+01,  0.3670474458E-01,  0.1110612120E+02,  0.5808706574E-01,  0.6451219922E+00,  0.3747324357E-01, -0.1123107182E-02,  0.4045785328E-03,  0.8276061784E-03,  0.1910051953E-03,  0.4381409913E-04, -0.1061554071E-02
  0.4860000000E+02,  0.1540904153E+02,  0.2407469063E+01,  0.3660438481E-01,  0.1112978802E+02,  0.5793457006E-01,  0.6447994835E+00,  0.3735618085E-01, -0.1105165265E-02,  0.4033716739E-03,  0.8235744573E-03,  0.1905711415E-03,  0.4353077280E-04, -0.1056806363E-02
  0.4870000000E+02,  0.1541482738E+02,  0.2405104593E+01,  0.3650446034E-01,  0.1115340316E+02,  0.5778291838E-01,  0.6444761845E+00,  0.3723971477E-01, -0.1087383862E-02,  0.4021636731E-03,  0.8195704907E-03,  0.1901365730E-03,  0.4324978930E-04, -0.1052088241E-02
  0.4880000000E+02,  0.1542059811E+02,  0.2402744145E+01,  0.3640496838E-01,  0.1117696663E+02,  0.5763210387E-01,  0.6441521020E+00,  0.3712384085E-01, -0.1069761436E-02,  0.4009546653E-03,  0.8155940237E-03,  0.1897015232E-03,  0.4297112584E-04, -0.1047399458E-02
  0.4890000000E+02,  0.1542635380E+02,  0.2400387707E+01,  0.3630590612E-01,  0.1120047844E+02,  0.5748211973E-01,  0.6438272425E+00,  0.3700855464E-01, -0.1052296465E-02,  0.3997447823E-03,  0.8116448042E-03,  0.1892660247E-03,  0.4269475986E-04, -0.1042739773E-02
  0.4900000000E+02,  0.1543209453E+02,  0.2398035266E+01,  0.3620727081E-01,  0.1122393856E+02,  0.5733295928E-01,  0.6435016127E+00,  0.3689385176E-01, -0.1034987440E-02,  0.3985341530E-03,  0.8077225830E-03,  0.1888301094E-03,  0.4242066908E-04, -0.1038108947E-02
  0.4910000000E+02,  0.1543782039E+02,  0.2395686810E+01,  0.3610905971E-01,  0.1124734703E+02,  0.5718461587E-01,  0.6431752192E+00,  0.3677972784E-01, -0.1017832873E-02,  0.3973229026E-03,  0.8038271138E-03,  0.1883938087E-03,  0.4214883141E-04, -0.1033506741E-02
  0.4920000000E+02,  0.1544353146E+02,  0.2393342327E+01,  0.3601127010E-01,  0.1127070382E+02,  0.5703708292E-01,  0.6428480683E+00,  0.3666617857E-01, -0.1000831284E-02,  0.3961111537E-03,  0.7999581528E-03,  0.1879571533E-03,  0.4187922505E-04, -0.1028932923E-02
  0.4930000000E+02,  0.1544922781E+02,  0.2391001806E+01,  0.3591389928E-01,  0.1129400895E+02,  0.5689035392E-01,  0.6425201665E+00,  0.3655319967E-01, -0.9839812053E-03,  0.3948990264E-03,  0.7961154592E-03,  0.1875201734E-03,  0.4161182839E-04, -0.1024387258E-02
  0.4940000000E+02,  0.1545490953E+02,  0.2388665233E+01,  0.3581694458E-01,  0.1131726243E+02,  0.5674442244E-01,  0.6421915200E+00,  0.3644078690E-01, -0.9672811978E-03,  0.3936866366E-03,  0.7922987946E-03,  0.1870828986E-03,  0.4134662008E-04, -0.1019869517E-02
  0.4950000000E+02,  0.1546057669E+02,  0.2386332598E+01,  0.3572040334E-01,  0.1134046425E+02,  0.5659928211E-01,  0.6418621352E+00,  0.3632893607E-01, -0.9507298201E-03,  0.3924740990E-03,  0.7885079235E-03,  0.1866453578E-03,  0.4108357898E-04, -0.1015379473E-02
  0.4960000000E+02,  0.1546622938E+02,  0.2384003887E+01,  0.3562427294E-01,  0.1136361443E+02,  0.5645492660E-01,  0.6415320183E+00,  0.3621764300E-01, -0.9343256535E-03,  0.3912615245E-03,  0.7847426129E-03,  0.1862075795E-03,  0.4082268419E-04, -0.1010916900E-02
  0.4970000000E+02,  0.1547186768E+02,  0.2381679089E+01,  0.3552855077E-01,  0.1138671297E+02,  0.5631134966E-01,  0.6412011754E+00,  0.3610690359E-01, -0.9180672945E-03,  0.3900490214E-03,  0.7810026325E-03,  0.1857695916E-03,  0.4056391502E-04, -0.1006481574E-02
  0.4980000000E+02,  0.1547749165E+02,  0.2379358191E+01,  0.3543323424E-01,  0.1140975988E+02,  0.5616854511E-01,  0.6408696125E+00,  0.3599671374E-01, -0.9019533467E-03,  0.3888366960E-03,  0.7772877543E-03,  0.1853314215E-03,  0.4030725103E-04, -0.1002073274E-02
  0.4990000000E+02,  0.1548310139E+02,  0.2377041182E+01,  0.3533832077E-01,  0.1143275517E+02,  0.5602650683E-01,  0.6405373356E+00,  0.3588706941E-01, -0.8859824337E-03,  0.3876246511E-03,  0.7735977531E-03,  0.1848930959E-03,  0.4005267196E-04, -0.9976917828E-03
  0.5000000000E+02,  0.1548869696E+02,  0.2374728048E+01,  0.3524380784E-01,  0.1145569885E+02,  0.5588522873E-01,  0.6402043508E+00,  0.3577796658E-01, -0.8701531890E-03,  0.3864129878E-03,  0.7699324059E-03,  0.1844546412E-03,  0.3980015780E-04, -0.9933368825E-03
